City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Cabedelo,BR,72.27,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
454,Xalpatlahuac,MX,68.81,broken clouds,17.4667,-98.6167,Hotel Villareal
455,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
456,Moron,AR,66.06,few clouds,-34.6534,-58.6198,Hotel Morón
457,High Level,CA,87.91,smoke,58.5169,-117.136,Days Inn by Wyndham High Level
460,Viareggio,IT,75.02,few clouds,43.8735,10.2558,Eros
461,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
462,Mitsamiouli,KM,73.96,clear sky,-11.3847,43.2844,Foyer ADM
463,Yeroham,IL,76.68,clear sky,30.9872,34.9314,Desert Iris
464,Wenling,CN,83.84,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
465,Luanda,AO,69.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
467,Benidorm,ES,81.25,clear sky,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
469,Sampit,ID,76.48,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
470,Ratingen,DE,77.79,clear sky,51.2972,6.8493,Best Western Hotel Breitbach
472,Castel San Pietro Terme,IT,71.38,clear sky,44.3986,11.5848,Hotel Castello
475,Ilhabela,BR,67.98,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
476,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
477,Caravelas,BR,69.49,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
478,Gonda,IN,79.84,broken clouds,27.1333,81.9333,Capital O 41566 Golden Fairy Resort
480,Ibotirama,BR,76.86,scattered clouds,-12.1853,-43.2206,Serra do Rio Hotel
481,Atambua,ID,76.19,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
484,Shellbrook,CA,74.43,few clouds,53.2168,-106.4011,Shellbrook Hotel
485,Morros,BR,80.47,broken clouds,-9.4467,-46.3003,
486,Novosil,RU,68.54,scattered clouds,52.9739,37.0405,
487,Sijunjung,ID,70.27,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
488,Margate,GB,71.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
490,Takoradi,GH,73.33,few clouds,4.8845,-1.7554,Raybow International Hotel
491,Itoman,JP,89.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
494,San Ignacio,BZ,77.99,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
495,Kochi,IN,76.01,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
