City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Nome,US,2022-08-25 00:17:45,64.5011,-165.4064,51.17,76,100,10.36,overcast clouds
151,Norman Wells,CA,2022-08-25 00:15:35,65.282,-126.8329,69.84,64,75,4.61,smoke
152,Aksarka,RU,2022-08-25 00:17:46,66.5606,67.7975,52.95,64,69,15.57,broken clouds
153,Ampere,BR,2022-08-25 00:16:20,-25.915,-53.4728,60.35,83,1,3.22,clear sky
154,Tazovskiy,RU,2022-08-25 00:17:47,67.4667,78.7,46.94,88,63,20.54,broken clouds
155,Kazachinskoye,RU,2022-08-25 00:17:47,57.6953,93.2761,51.82,96,63,3.58,broken clouds
156,Lewistown,US,2022-08-25 00:17:48,40.5992,-77.5714,77.74,91,20,0.0,few clouds
157,Varhaug,NO,2022-08-25 00:17:48,58.6147,5.6457,70.48,74,57,19.8,broken clouds
158,Port Blair,IN,2022-08-25 00:17:49,11.6667,92.75,77.04,94,40,2.3,scattered clouds
159,Lasa,IT,2022-08-25 00:17:49,46.6166,10.7002,63.48,83,15,1.92,few clouds
160,Kahului,US,2022-08-25 00:13:39,20.8947,-156.47,89.62,56,20,13.8,few clouds
161,Torbat-E Jam,IR,2022-08-25 00:17:50,35.244,60.6225,63.64,22,0,15.7,clear sky
162,Hervey Bay,AU,2022-08-25 00:17:51,-25.2986,152.8535,57.9,47,0,3.74,clear sky
163,Lanxi,CN,2022-08-25 00:17:51,29.2195,119.477,84.87,74,38,2.33,scattered clouds
164,Mount Isa,AU,2022-08-25 00:16:09,-20.7333,139.5,62.37,20,0,18.41,clear sky
165,Santa Fe,AR,2022-08-25 00:17:14,-31.6333,-60.7,73.02,59,7,1.99,clear sky
166,Naze,JP,2022-08-25 00:17:53,28.3667,129.4833,85.12,79,100,9.48,overcast clouds
167,Karratha,AU,2022-08-25 00:17:53,-20.7377,116.8463,66.18,22,4,19.62,clear sky
168,Maraba,BR,2022-08-25 00:17:53,-5.3686,-49.1178,80.78,78,0,2.3,clear sky
169,Saint-Pierre,RE,2022-08-25 00:15:43,-21.3393,55.4781,67.68,63,75,6.91,broken clouds
170,Tihemetsa,EE,2022-08-25 00:17:54,58.1462,25.0459,63.68,95,100,3.94,overcast clouds
171,Barrow,US,2022-08-25 00:15:29,71.2906,-156.7887,41.02,100,100,5.75,fog
172,Dingle,PH,2022-08-25 00:10:49,10.9995,122.6711,81.59,83,65,3.96,broken clouds
173,Ginda,IN,2022-08-25 00:17:55,30.6945,78.4932,62.96,84,64,4.0,broken clouds
174,Coquimbo,CL,2022-08-25 00:17:56,-29.9533,-71.3436,53.33,93,100,3.44,overcast clouds
175,Los Llanos De Aridane,ES,2022-08-25 00:17:56,28.6585,-17.9182,69.55,73,100,12.66,overcast clouds
176,Aswan,EG,2022-08-25 00:17:57,24.0934,32.907,91.81,19,3,11.18,clear sky
177,Akureyri,IS,2022-08-25 00:17:58,65.6835,-18.0878,48.13,93,100,8.05,light intensity drizzle
178,Akyab,MM,2022-08-25 00:17:58,20.15,92.9,78.69,91,4,6.22,clear sky
179,Ancud,CL,2022-08-25 00:15:37,-41.8697,-73.8203,45.23,81,100,6.06,light rain
180,Faya,SA,2022-08-25 00:17:59,18.3851,42.4509,66.72,43,90,3.8,overcast clouds
181,Simmerath,DE,2022-08-25 00:17:59,50.6,6.3,67.82,52,3,6.15,clear sky
182,Tasiilaq,GL,2022-08-25 00:18:00,65.6145,-37.6368,36.32,75,32,5.61,scattered clouds
183,Hobyo,SO,2022-08-25 00:18:00,5.3505,48.5268,76.93,77,98,21.83,overcast clouds
184,Rabo De Peixe,PT,2022-08-25 00:18:01,37.8,-25.5833,70.29,70,20,2.3,few clouds
185,Ayagoz,KZ,2022-08-25 00:18:02,47.9714,80.4392,50.16,55,0,9.46,clear sky
186,Nangong,CN,2022-08-25 00:18:02,37.3581,115.3744,73.24,81,100,3.67,overcast clouds
187,Toora-Khem,RU,2022-08-25 00:18:03,52.4675,96.11,47.93,76,89,2.46,overcast clouds
188,Lebedinyy,RU,2022-08-25 00:18:03,58.5167,125.5167,41.77,94,100,5.95,light rain
189,Kingman,US,2022-08-25 00:17:17,35.1894,-114.053,97.2,24,0,13.8,clear sky
190,Carauari,BR,2022-08-25 00:18:04,-4.8828,-66.8958,78.49,53,21,0.76,few clouds
191,Ahipara,NZ,2022-08-25 00:18:05,-35.1667,173.1667,61.14,96,100,21.52,light rain
